2021-10-05 22:48:34 - main_link_prediction.py[line:412] - INFO: - Namespace(batch_size=320000, dataset='MyDataset', decoder='DisMult', dropout=0.05, eval_every=1, fan_out='10,25', gpu=0, log_every=20, loss='CrossEntropyLoss', lr=0.001, margin=10.0, model='RGCN', neg_share=False, num_epochs=50, num_heads=[8, 4], num_hidden=64, num_layers=2, num_negs=1, num_output=64, num_workers=0)
2021-10-05 22:48:39 - main_link_prediction.py[line:168] - INFO: - --------------------------------------------------
2021-10-05 22:48:39 - main_link_prediction.py[line:169] - INFO: - Dataloader size: 109
2021-10-05 22:48:39 - main_link_prediction.py[line:170] - INFO: - Dataloader sample graph: 40787683
2021-10-05 22:48:39 - main_link_prediction.py[line:171] - INFO: - Train Edges: 34671896
2021-10-05 22:48:39 - main_link_prediction.py[line:172] - INFO: - Test Edges: 2037945
2021-10-05 22:48:39 - main_link_prediction.py[line:173] - INFO: - Valid Edges: 4077830
2021-10-05 22:48:39 - main_link_prediction.py[line:181] - INFO: - --------------------------------------------------
2021-10-05 23:26:46 - utils.py[line:544] - INFO: - F1 0.5029 | Precision 0.5019 | Recall 0.5040 | TP 161264.0156 | TN 159944.1875 | FP 160055.8125 | FN 158735.9844
2021-10-05 23:27:10 - utils.py[line:544] - INFO: - F1 0.5026 | Precision 0.5017 | Recall 0.5035 | TP 161110.7188 | TN 159951.3438 | FP 160048.6562 | FN 158889.2812
2021-10-05 23:27:34 - utils.py[line:544] - INFO: - F1 0.5031 | Precision 0.5020 | Recall 0.5042 | TP 161331.9219 | TN 159944.2500 | FP 160055.7656 | FN 158668.0781
2021-10-05 23:27:58 - utils.py[line:544] - INFO: - F1 0.5035 | Precision 0.5023 | Recall 0.5048 | TP 161526.9844 | TN 159926.3125 | FP 160073.6875 | FN 158473.0000
2021-10-05 23:28:23 - utils.py[line:544] - INFO: - F1 0.5036 | Precision 0.5023 | Recall 0.5049 | TP 161560.0938 | TN 159936.5156 | FP 160063.4688 | FN 158439.9062
2021-10-05 23:28:47 - utils.py[line:544] - INFO: - F1 0.5035 | Precision 0.5023 | Recall 0.5047 | TP 161515.9062 | TN 159932.5781 | FP 160067.4219 | FN 158484.0938
2021-10-05 23:28:47 - main_link_prediction.py[line:294] - INFO: - Epoch 00000 | Step 00100 | Loss 62.1635 | F1 0.5013 0.5008 0.5017 | Speed (samples/sec) 13331.3306|13331.3306 | Load 6.5758| train 17.4296 | GPU 2752.9 MB
2021-10-05 23:29:11 - utils.py[line:544] - INFO: - F1 0.5029 | Precision 0.5019 | Recall 0.5040 | TP 161275.6562 | TN 159924.5000 | FP 160075.5000 | FN 158724.3438
2021-10-05 23:29:35 - utils.py[line:544] - INFO: - F1 0.5036 | Precision 0.5023 | Recall 0.5049 | TP 161556.2031 | TN 159934.8438 | FP 160065.1562 | FN 158443.7969
2021-10-05 23:29:58 - utils.py[line:544] - INFO: - F1 0.5039 | Precision 0.5025 | Recall 0.5053 | TP 161693.4062 | TN 159926.4688 | FP 160073.5312 | FN 158306.5938
2021-10-05 23:30:23 - utils.py[line:544] - INFO: - F1 0.5028 | Precision 0.5018 | Recall 0.5039 | TP 161232.9844 | TN 159948.8438 | FP 160051.1562 | FN 158767.0156
2021-10-05 23:30:46 - utils.py[line:544] - INFO: - F1 0.5035 | Precision 0.5023 | Recall 0.5047 | TP 161503.8906 | TN 159944.4844 | FP 160055.5156 | FN 158496.1094
2021-10-05 23:31:11 - utils.py[line:544] - INFO: - F1 0.5041 | Precision 0.5027 | Recall 0.5056 | TP 161785.7656 | TN 159926.5469 | FP 160073.4531 | FN 158214.2344
2021-10-05 23:31:35 - utils.py[line:544] - INFO: - F1 0.5039 | Precision 0.5026 | Recall 0.5053 | TP 161702.3438 | TN 159940.0625 | FP 160059.9375 | FN 158297.6562
2021-10-05 23:31:58 - utils.py[line:544] - INFO: - F1 0.5037 | Precision 0.5024 | Recall 0.5050 | TP 161589.8906 | TN 159938.9219 | FP 160061.0781 | FN 158410.1250
2021-10-05 23:32:12 - utils.py[line:544] - INFO: - F1 0.5055 | Precision 0.5036 | Recall 0.5075 | TP 56782.3867 | TN 55928.0547 | FP 55968.9453 | FN 55114.6172
2021-10-05 23:32:12 - main_link_prediction.py[line:299] - INFO: - Epoch Time(s): 2613.1312
2021-10-05 23:32:12 - main_link_prediction.py[line:303] - INFO: - [Total] Epoch 00000 | Step 00108 | Loss 6642.6879 | F1 0.5015 0.5009 0.5020 | Speed (samples/sec) 13286.4449|13286.4449 | Load 6.5577| train 17.3437 | GPU 2752.9 MB
